show_id,show_cache_time,show_canonical_name,show_clips_count,show_episodes_count,show_feature_films_count,show_film_clips_count,show_genre,show_is_movie,show_is_showtime_only,show_is_subscriber_only,show_rating,show_seasons_count,show_series_id,show_type,show_videos_count,show_company_name
54,2017-08-10T14:53:04+00:00,family-guy,288,288,0,0,Animation and Cartoons,False,False,False,4.35370739,15,11730,show,576,FOX
6979,2017-08-10T14:14:33+00:00,south-park,3874,274,0,0,Comedy,False,False,False,4.36303207,20,50003814,show,4148,Comedy Central
53,2017-08-10T14:46:51+00:00,american-dad,121,172,0,0,Comedy,False,False,False,4.114006824,9,379,show,293,Fox Television Classics
389,2017-08-10T15:00:39+00:00,law-and-order-special-victims-unit,176,406,0,0,Drama,False,False,False,4.622855997,18,260,show,582,NBC
1603,2017-08-10T14:54:31+00:00,naruto-shippuden,16,597,0,0,Anime,False,False,False,4.400626276000001,9,10960,show,613,Viz Media
23104,2017-08-10T15:20:19+00:00,seinfeld,63,171,0,0,Comedy,False,False,False,4.366506162,9,50020894,show,234,Sony Pictures Television
2553,2017-08-10T15:51:53+00:00,modern-family,68,22,0,0,Comedy,False,False,False,4.6405570019999995,1,13628,show,90,ABC
22416,2017-08-10T14:41:25+00:00,adventure-time,223,223,0,0,Kids,False,False,False,4.36580305,7,50020481,show,446,Cartoon Network
77,2017-08-10T15:01:46+00:00,saturday-night-live,7073,370,0,0,Comedy,False,False,False,4.083795347,18,8765,show,7443,NBC
11248,2017-08-10T14:58:23+00:00,the-mindy-project,23,107,0,0,Comedy,False,False,False,4.440965244,5,50007572,show,130,Hulu Original Series
2505,2017-08-10T14:35:54+00:00,community,0,110,0,0,Comedy,False,False,False,4.583853327,6,12316,show,110,Sony Pictures Television
2252,2017-08-10T15:23:19+00:00,greys-anatomy,155,24,0,0,Drama,False,False,False,4.462517355,1,11970,show,179,ABC
58,2017-08-10T14:58:44+00:00,the-simpsons,405,21,0,0,Comedy,False,False,False,4.2592977869999995,1,392,show,426,FOX
15137,2017-08-10T14:22:56+00:00,brooklyn-nine-nine,155,90,0,0,Comedy,False,False,False,4.525913142,4,50012564,show,245,FOX
1968,2017-08-10T14:46:29+00:00,parks-and-recreation,1,123,0,0,Comedy,False,False,False,4.582548165,7,11549,show,124,NBC
22015,2017-08-10T14:53:53+00:00,the-amazing-world-of-gumball,156,156,0,0,Kids,False,False,False,4.0158769560000005,4,50020274,show,312,Cartoon Network
4910,2017-08-10T14:39:09+00:00,bobs-burgers,99,129,0,0,Animation and Cartoons,False,False,False,4.323962371,7,50001677,show,228,FOX
7529,2017-08-10T14:55:15+00:00,new-girl,139,22,0,0,Comedy,False,False,False,4.5882924880000004,1,50004647,show,161,FOX
2103,2017-08-10T15:56:52+00:00,glee,0,121,0,0,Drama,False,False,False,4.187489416,6,11725,show,121,FOX
10,2017-08-10T15:46:57+00:00,bones,60,246,0,0,Drama,False,False,False,4.618597705,12,384,show,306,FOX
11226,2017-08-10T14:40:14+00:00,nashville,426,107,0,0,Drama,False,False,False,4.424495117,5,50008475,show,533,CMT
22278,2017-08-10T14:46:00+00:00,regular-show,220,217,0,0,Kids,False,False,False,4.061273937,7,50020482,show,437,Cartoon Network
7555,2017-08-10T15:52:49+00:00,once-upon-a-time,135,22,0,0,Drama,False,False,False,4.715775889,1,50004389,show,157,ABC
22881,2017-08-10T15:08:06+00:00,rick-and-morty,21,21,0,0,Animation and Cartoons,False,False,False,4.772879511,2,50020410,show,42,Adult Swim
6341,2017-08-10T14:38:38+00:00,workaholics,69,86,0,0,Comedy,False,False,False,4.577148191,7,50003271,show,155,Comedy Central
1318,2017-08-10T15:31:01+00:00,bleach,0,732,0,0,Anime,False,False,False,4.421983759,26,10374,show,732,Viz Media
2138,2017-08-10T14:10:34+00:00,one-piece,4,747,0,0,Anime,False,False,False,4.146686058999999,11,11787,show,751,Toei Animation
6290,2017-08-10T14:42:28+00:00,the-voice,1024,0,0,0,Reality and Game Shows,False,False,False,4.1234969,0,50003167,show,1024,NBC
22638,2017-08-10T15:57:42+00:00,doc-mcstuffins,0,92,0,0,Animation and Cartoons,False,False,False,3.503616156,3,50020770,show,92,Disney Junior
148,2017-08-10T15:03:40+00:00,hells-kitchen,1,0,0,0,Reality and Game Shows,False,False,False,4.05219787,0,15,show,1,FOX
21027,2017-08-10T15:32:23+00:00,empire,200,48,0,0,Drama,False,False,False,4.57500889,3,50019341,show,248,FOX
35,2017-08-10T14:43:49+00:00,its-always-sunny-in-philadelphia,8,123,0,0,Comedy,False,False,False,4.478408089,11,395,show,131,FXX
