"company","number_of_shows","average_rating","top_show_name","top_rating","lowest_show_name","lowest_rating"
"History","1","4.78311932","vikings","4.78311932","vikings","4.78311932"
"Adult Swim","1","4.772879511","rick-and-morty","4.772879511","rick-and-morty","4.772879511"
"SHOWTIME","1","4.69207411","homeland","4.69207411","homeland","4.69207411"
"Disney XD","1","4.598782733","gravity-falls","4.598782733","gravity-falls","4.598782733"
"ABC Studios","1","4.591255389","the-golden-girls","4.591255389","the-golden-girls","4.591255389"
"Funimation","1","4.520954045","fairy-tail","4.520954045","fairy-tail","4.520954045"
"Freeform","1","4.498914555","pretty-little-liars","4.498914555","pretty-little-liars","4.498914555"
"USA","1","4.496905704","csi-crime-scene-investigation","4.496905704","csi-crime-scene-investigation","4.496905704"
"FXX","2","4.463658322000001","its-always-sunny-in-philadelphia","4.478408089","archer","4.448908555"
"Sony Pictures Television","3","4.4350527500000005","community","4.583853327","happy-endings","4.3547987610000005"
"TNT","1","4.433746548999999","rizzoli-and-isles","4.433746548999999","rizzoli-and-isles","4.433746548999999"
"CMT","1","4.424495117","nashville","4.424495117","nashville","4.424495117"
"Hulu Original Series","3","4.3781172406666675","casual","4.536517228","east-los-high","4.15686925"
"NBC","12","4.370496921833334","this-is-us","4.795632995","americas-got-talent","3.335469442"
"Comedy Central","5","4.3542090398","broad-city","4.642177106","inside-amy-schumer","3.750503665"
"FOX","16","4.3432515038125","lucifer","4.630420254","the-cleveland-show","3.621983592"
"Viz Media","4","4.34023832125","bleach","4.421983759","naruto","4.212936615"
"MGM","1","4.315301436","stargate-sg-1","4.315301436","stargate-sg-1","4.315301436"
"Fox Television Classics","3","4.308464391","arrested-development","4.687830774","american-dad","4.114006824"
"Warner Bros.","2","4.261147359000001","smallville","4.467553413","the-oc","4.054741305"
"Bravo","1","4.252735986999999","top-chef","4.252735986999999","top-chef","4.252735986999999"
"CBS","7","4.198495890857143","elementary","4.574669187","americas-next-top-model","3.5413735789999996"
"Toei Animation","1","4.146686058999999","one-piece","4.146686058999999","one-piece","4.146686058999999"
"MTV","3","4.1007744100000005","awkward","4.5081756760000005","jersey-shore","3.5956574"
"ABC","18","4.059399495","once-upon-a-time","4.715775889","the-bachelor","2.927638092"
"Cartoon Network","5","4.041404201200001","steven-universe","4.416828893","clarence","3.34723817"
"Lifetime","1","3.884819104","project-runway","3.884819104","project-runway","3.884819104"
"Nickelodeon","6","3.8547605550000004","hey-arnold","4.098780423","rabbids-invasion","3.433965658"
"4K Media","1","3.6746067410000003","yu-gi-oh","3.6746067410000003","yu-gi-oh","3.6746067410000003"
"Universal Television","1","3.578587476","curious-george","3.578587476","curious-george","3.578587476"
"Disney Junior","1","3.503616156","doc-mcstuffins","3.503616156","doc-mcstuffins","3.503616156"
"Sesame Street","1","3.363741534","sesame-street","3.363741534","sesame-street","3.363741534"
"E! Entertainment","1","3.2116053780000002","keeping-up-with-the-kardashians","3.2116053780000002","keeping-up-with-the-kardashians","3.2116053780000002"
"Australian Broadcasting Corporation","1","2.193160087","ready-steady-wiggle","2.193160087","ready-steady-wiggle","2.193160087"
